,Unnamed: 0,Date,hour,weekofday,day,month,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude
33,24156,10/25/2004 05:04:35 PM,17,0,25,10,009XX S MENARD AVE,1020,ARSON,BY FIRE,ALLEY,False,False,1513,15.0,29.0,25.0,,,2004,02/04/2016 06:33:39 AM,,
34,24769,10/12/2005 09:22:00 PM,21,2,12,10,033XX W REDFIELD DR,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,831,8.0,18.0,66.0,,,2005,08/17/2015 03:03:40 PM,,
35,28611,01/08/2001 07:30:00 PM,19,0,8,1,031XX E 98 ST,1020,ARSON,BY FIRE,STREET,False,False,431,4.0,,,,,2001,08/17/2015 03:03:40 PM,,
36,29767,12/10/2001 09:10:00 PM,21,0,10,12,045XX W 46 ST,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,815,8.0,,,,,2001,08/17/2015 03:03:40 PM,,
37,30590,04/25/2002 08:58:55 PM,20,3,25,4,064XX W DIVERSEY AVE,1020,ARSON,BY FIRE,SMALL RETAIL STORE,False,False,2512,25.0,36.0,19.0,,,2002,08/17/2015 03:03:40 PM,,
38,31749,08/03/2002 01:59:07 AM,1,5,3,8,019XX S ST LOUIS AVE,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,1024,10.0,24.0,29.0,,,2002,08/17/2015 03:03:40 PM,,
39,31826,08/09/2002 12:03:26 AM,0,4,9,8,037XX W 23RD ST,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,1013,10.0,22.0,30.0,,,2002,08/17/2015 03:03:40 PM,,
40,31982,06/02/2002 06:45:00 PM,18,6,2,6,001XX S CICERO AVE,1090,ARSON,ATTEMPT ARSON,VEHICLE NON-COMMERCIAL,False,True,1113,11.0,28.0,25.0,,,2002,08/17/2015 03:03:40 PM,,
41,32601,09/29/2002 11:28:03 PM,23,6,29,9,011XX W 51ST ST,1020,ARSON,BY FIRE,TAVERN/LIQUOR STORE,False,False,921,9.0,16.0,61.0,,,2002,08/17/2015 03:03:40 PM,,
42,32900,10/15/2002 12:24:45 AM,0,1,15,10,058XX S PRINCETON AVE,1025,ARSON,AGGRAVATED,APARTMENT,False,False,711,7.0,20.0,68.0,,,2002,08/17/2015 03:03:40 PM,,
43,32960,05/30/2002 08:20:00 AM,8,3,30,5,018XX W 53RD ST,1020,ARSON,BY FIRE,RESIDENCE,False,False,932,9.0,16.0,61.0,,,2002,08/17/2015 03:03:40 PM,,
44,32974,10/14/2002 05:32:06 PM,17,0,14,10,002XX E 57TH ST,1090,ARSON,ATTEMPT ARSON,VEHICLE NON-COMMERCIAL,True,False,233,2.0,20.0,40.0,,,2002,08/17/2015 03:03:40 PM,,
45,33109,10/23/2002 06:57:31 PM,18,2,23,10,058XX S INDIANA AVE,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,233,2.0,20.0,40.0,,,2002,08/17/2015 03:03:40 PM,,
46,33132,10/24/2002 04:35:00 PM,16,3,24,10,017XX N WASHTENAW AVE,1020,ARSON,BY FIRE,ABANDONED BUILDING,False,False,1421,14.0,1.0,24.0,,,2002,08/17/2015 03:03:40 PM,,
47,33156,10/26/2002 12:35:00 AM,0,5,26,10,048XX W GEORGE ST,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,2521,25.0,31.0,19.0,,,2002,08/17/2015 03:03:40 PM,,
48,33347,08/17/2002 08:14:00 PM,20,5,17,8,045XX W AGATITE AVE,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,1722,17.0,45.0,16.0,,,2002,08/17/2015 03:03:40 PM,,
49,33368,08/19/2002 02:30:00 AM,2,0,19,8,045XX W PATTERSON AVE,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,1731,17.0,38.0,16.0,,,2002,08/17/2015 03:03:40 PM,,
50,33525,11/10/2002 01:56:17 AM,1,6,10,11,049XX S HOYNE AVE,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,915,9.0,16.0,61.0,,,2002,08/17/2015 03:03:40 PM,,
51,33563,11/11/2002 08:50:00 PM,20,0,11,11,035XX W LYNDALE ST,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,1413,14.0,26.0,22.0,,,2002,08/17/2015 03:03:40 PM,,
52,33647,11/14/2002 01:55:00 AM,1,3,14,11,121XX S RACINE AVE,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,524,5.0,34.0,53.0,,,2002,08/17/2015 03:03:40 PM,,
53,33667,11/14/2002 09:01:46 PM,21,3,14,11,033XX W CRYSTAL ST,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,1422,14.0,26.0,23.0,,,2002,08/17/2015 03:03:40 PM,,
54,33983,11/22/2002 08:20:00 PM,20,4,22,11,126XX S LOWE AVE,1090,ARSON,ATTEMPT ARSON,"SCHOOL, PUBLIC, BUILDING",False,False,523,5.0,9.0,53.0,,,2002,08/17/2015 03:03:40 PM,,
55,34016,11/24/2002 02:04:04 AM,2,6,24,11,005XX N CLAREMONT AVE,1020,ARSON,BY FIRE,VACANT LOT/LAND,False,False,1313,12.0,26.0,24.0,,,2002,08/17/2015 03:03:40 PM,,
56,34116,11/30/2002 07:04:08 PM,19,5,30,11,031XX N KARLOV AVE,1090,ARSON,ATTEMPT ARSON,VEHICLE NON-COMMERCIAL,False,False,2523,25.0,31.0,21.0,,,2002,08/17/2015 03:03:40 PM,,
57,34117,11/25/2002 10:43:25 AM,10,0,25,11,021XX W 35TH ST,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,913,9.0,11.0,59.0,,,2002,08/17/2015 03:03:40 PM,,
58,34204,11/29/2002 05:25:00 AM,5,4,29,11,046XX S KILPATRICK AVE,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,815,8.0,23.0,56.0,,,2002,08/17/2015 03:03:40 PM,,
59,34223,11/27/2002 09:17:55 PM,21,2,27,11,019XX N CICERO AVE,1020,ARSON,BY FIRE,RESIDENCE-GARAGE,False,False,2533,25.0,31.0,19.0,,,2002,08/17/2015 03:03:40 PM,,
60,34280,11/28/2002 08:30:00 PM,20,3,28,11,080XX S ADA ST,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,612,6.0,21.0,71.0,,,2002,08/17/2015 03:03:40 PM,,
61,34596,11/04/2002 02:33:43 AM,2,0,4,11,054XX N ST LOUIS AVE,1020,ARSON,BY FIRE,PARKING LOT/GARAGE(NON.RESID.),False,False,1712,17.0,39.0,13.0,,,2002,08/17/2015 03:03:40 PM,,
62,35804,05/19/2003 12:21:48 AM,0,0,19,5,039XX W WILSON AVE,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,1723,17.0,39.0,14.0,,,2003,02/04/2016 06:33:39 AM,,
63,37140,04/17/2004 02:58:00 AM,2,5,17,4,029XX S UNION AVE,1025,ARSON,AGGRAVATED,RESIDENCE,False,False,923,9.0,11.0,60.0,,,2004,08/17/2015 03:03:40 PM,,
64,37168,04/16/2004 09:30:00 PM,21,4,16,4,022XX S TRUMBULL AVE,1020,ARSON,BY FIRE,RESIDENCE-GARAGE,False,True,1024,10.0,22.0,30.0,,,2004,08/17/2015 03:03:40 PM,,
65,37572,12/13/2005 03:30:20 PM,15,1,13,12,084XX S MUSKEGON AVE,1090,ARSON,ATTEMPT ARSON,RESIDENCE,False,False,423,4.0,7.0,46.0,,,2005,08/17/2015 03:03:40 PM,,
66,39354,12/30/2007 08:42:00 PM,20,6,30,12,029XX W BELDEN AVE,1020,ARSON,BY FIRE,RESIDENCE,False,False,1414,14.0,35.0,22.0,,,2007,08/17/2015 03:03:40 PM,,
67,42510,06/29/2008 08:25:00 AM,8,6,29,6,009XX N RICHMOND ST,1020,ARSON,BY FIRE,RESIDENCE,False,False,1311,12.0,26.0,24.0,,,2008,08/17/2015 03:03:40 PM,,
68,48340,08/13/2009 12:15:00 AM,0,3,13,8,076XX S EVANS AVE,1020,ARSON,BY FIRE,RESIDENCE,False,False,624,6.0,6.0,69.0,,,2009,08/17/2015 03:03:40 PM,,
69,48637,09/03/2009 10:20:00 PM,22,3,3,9,025XX W FULLERTON AVE,1020,ARSON,BY FIRE,RESTAURANT,False,False,1431,14.0,1.0,22.0,,,2009,08/17/2015 03:03:40 PM,,
70,53278,02/22/2002 10:59:14 AM,10,4,22,2,0000X E 110 PL,1025,ARSON,AGGRAVATED,RESIDENCE,False,False,513,5.0,,,,,2002,02/04/2016 06:33:39 AM,,
71,54032,01/01/2002 01:00:00 AM,1,1,1,1,063XX S KING DR,1090,ARSON,ATTEMPT ARSON,APARTMENT,False,False,312,3.0,,,,,2002,02/04/2016 06:33:39 AM,,
72,54456,01/19/2002 07:03:00 AM,7,5,19,1,039XX N PINE GROVE AV,1020,ARSON,BY FIRE,RESIDENCE PORCH/HALLWAY,False,False,2323,19.0,,,,,2002,02/04/2016 06:33:39 AM,,
73,54636,02/14/2002 09:00:00 AM,9,3,14,2,004XX W 102 ST,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,2232,22.0,,,,,2002,02/04/2016 06:33:39 AM,,
74,55179,03/13/2002 08:42:31 PM,20,2,13,3,002XX W 109 PL,1090,ARSON,ATTEMPT ARSON,VEHICLE NON-COMMERCIAL,False,False,513,5.0,,,,,2002,02/04/2016 06:33:39 AM,,
75,55269,03/19/2002 11:49:53 AM,11,1,19,3,013XX W 109 ST,1020,ARSON,BY FIRE,RESIDENCE,False,False,2234,22.0,,,,,2002,02/04/2016 06:33:39 AM,,
76,55378,03/25/2002 03:52:52 AM,3,0,25,3,109XX S KEDZIE AV,1020,ARSON,BY FIRE,RESIDENCE,False,False,2211,22.0,,,,,2002,02/04/2016 06:33:39 AM,,
77,56299,11/03/2003 04:25:00 AM,4,0,3,11,115XX S MICHIGAN AVE,1010,ARSON,BY EXPLOSIVE,RESTAURANT,False,False,532,5.0,9.0,53.0,,,2003,02/04/2016 06:33:39 AM,,
78,64470,04/25/2019 01:27:00 AM,1,3,25,4,055XX W CHICAGO AVE,1020,ARSON,BY FIRE,ALLEY,False,False,1524,15.0,37.0,25.0,1139204.0,1904791.0,2019,06/30/2019 03:56:27 PM,41.894860447,-87.76419400200001
79,64718,04/07/2019 06:42:00 PM,18,6,7,4,073XX S PERRY AVE,1025,ARSON,AGGRAVATED,APARTMENT,False,False,731,7.0,6.0,69.0,1176666.0,1856320.0,2019,06/30/2019 03:56:27 PM,41.761087706,-87.62806821299999
80,67490,06/06/2019 01:38:00 AM,1,3,6,6,011XX N PULASKI RD,1020,ARSON,BY FIRE,CONVENIENCE STORE,False,False,1112,11.0,37.0,23.0,1149510.0,1907372.0,2019,06/30/2019 03:56:27 PM,41.90174914,-87.72627542200001
81,68017,05/27/2019 06:35:00 AM,6,0,27,5,068XX S CLAREMONT AVE,1025,ARSON,AGGRAVATED,RESIDENTIAL YARD (FRONT/BACK),False,False,832,8.0,17.0,66.0,1161913.0,1859264.0,2019,06/30/2019 03:56:27 PM,41.769485656,-87.682057391
82,69265,05/28/2019 03:15:00 PM,15,1,28,5,083XX S STATE ST,1020,ARSON,BY FIRE,RESIDENCE-GARAGE,False,False,632,6.0,6.0,44.0,1177746.0,1849674.0,2019,06/30/2019 03:56:27 PM,41.742825941,-87.624310695
83,70124,05/28/2019 10:30:00 PM,22,1,28,5,044XX S WASHTENAW AVE,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,922,9.0,15.0,58.0,1159108.0,1875155.0,2019,06/30/2019 03:56:27 PM,41.81315055,-87.691904722
84,71538,06/01/2019 02:30:00 AM,2,5,1,6,044XX S WASHTENAW AVE,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,922,9.0,15.0,58.0,1159108.0,1875176.0,2019,06/30/2019 03:56:27 PM,41.813208177,-87.691904147
85,71997,06/01/2019 07:08:00 PM,19,5,1,6,021XX E 71ST ST,1090,ARSON,ATTEMPT ARSON,STREET,True,False,333,3.0,5.0,43.0,1191936.0,1858282.0,2019,07/31/2019 04:03:38 PM,41.766114415,-87.57203980799999
86,73078,06/01/2019 12:00:00 AM,0,5,1,6,010XX N MONTICELLO AVE,1020,ARSON,BY FIRE,VACANT LOT/LAND,False,False,1112,11.0,27.0,23.0,1151856.0,1906677.0,2019,06/30/2019 03:56:27 PM,41.899796115,-87.717676539
87,74207,06/04/2019 03:30:00 AM,3,1,4,6,106XX S WENTWORTH AVE,1090,ARSON,ATTEMPT ARSON,RESIDENCE,False,False,512,5.0,34.0,49.0,1176832.0,1834420.0,2019,06/30/2019 03:56:27 PM,41.70098755,-87.628117444
88,75080,05/08/2019 12:53:00 AM,0,2,8,5,015XX S HAMLIN AVE,1020,ARSON,BY FIRE,RESIDENCE,False,False,1014,10.0,24.0,29.0,1151297.0,1892141.0,2019,06/04/2019 04:10:41 PM,41.859918745,-87.72011125200001
89,75271,07/28/2018 03:30:00 AM,3,5,28,7,052XX W HENDERSON ST,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,1634,16.0,31.0,15.0,1140935.0,1921773.0,2018,06/06/2019 04:02:57 PM,41.941429217,-87.757417575
90,75312,05/30/2019 01:18:00 AM,1,3,30,5,007XX W LAWRENCE AVE,1020,ARSON,BY FIRE,GAS STATION,False,False,1914,19.0,46.0,3.0,1170123.0,1932093.0,2019,06/30/2019 03:56:27 PM,41.969159427,-87.649837624
91,75624,05/06/2019 10:55:00 AM,10,0,6,5,115XX S ADA ST,1020,ARSON,BY FIRE,"SCHOOL, PUBLIC, BUILDING",True,False,524,5.0,34.0,53.0,1169402.0,1828225.0,2019,06/09/2019 03:57:16 PM,41.684151193000005,-87.655501989
92,75911,04/15/2019 09:45:00 PM,21,0,15,4,092XX S BURNSIDE AVE,1090,ARSON,ATTEMPT ARSON,RESIDENCE,False,True,633,6.0,9.0,49.0,1180880.0,1843681.0,2019,06/12/2019 04:05:16 PM,41.726309007,-87.613011501
93,76415,10/24/2015 09:30:00 PM,21,5,24,10,064XX S OAKLEY AVE,1090,ARSON,ATTEMPT ARSON,RESIDENCE-GARAGE,False,False,825,8.0,16.0,66.0,1162180.0,1861928.0,2015,06/17/2019 04:07:59 PM,41.77679049,-87.68100461700001
94,76486,11/17/2018 03:15:00 AM,3,5,17,11,073XX S MORGAN ST,1025,ARSON,AGGRAVATED,OTHER,True,True,733,7.0,17.0,68.0,1170912.0,1856254.0,2018,06/18/2019 04:07:15 PM,41.761034113,-87.649158884
95,76820,05/28/2019 01:24:00 AM,1,1,28,5,058XX W NORTH AVE,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,2531,25.0,29.0,25.0,1136911.0,1910035.0,2019,06/30/2019 03:56:27 PM,41.909292061,-87.772489784
96,77070,06/03/2019 09:08:00 AM,9,0,3,6,022XX N MANGO AVE,1020,ARSON,BY FIRE,RESIDENCE-GARAGE,False,False,2515,25.0,36.0,19.0,1137690.0,1914263.0,2019,06/30/2019 03:56:27 PM,41.92088017,-87.769525935
97,77168,05/09/2018 12:58:00 AM,0,2,9,5,022XX S KEDZIE AVE,1020,ARSON,BY FIRE,VEHICLE-COMMERCIAL,False,False,1024,10.0,12.0,30.0,1155375.0,1888906.0,2018,06/26/2019 04:10:52 PM,41.85096064,-87.705228819
98,79020,06/04/2019 02:06:00 AM,2,1,4,6,058XX W HIGGINS AVE,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,1622,16.0,45.0,11.0,1136078.0,1932995.0,2019,08/17/2019 03:57:45 PM,41.972311647,-87.77500054
99,79197,06/08/2019 05:00:00 AM,5,5,8,6,039XX W VAN BUREN ST,1025,ARSON,AGGRAVATED,APARTMENT,False,False,1132,11.0,28.0,26.0,1150123.0,1897732.0,2019,06/30/2019 03:56:27 PM,41.87528403,-87.72427510799999
100,79603,06/08/2019 09:59:00 PM,21,5,8,6,066XX S RHODES AVE,1030,ARSON,POS: EXPLOSIVE/INCENDIARY DEV,STREET,True,False,321,3.0,20.0,42.0,1181043.0,1861072.0,2019,06/30/2019 03:56:27 PM,41.774028085,-87.611880258
101,81306,06/10/2019 04:50:00 PM,16,0,10,6,003XX S SPAULDING AVE,1020,ARSON,BY FIRE,VACANT LOT/LAND,False,False,1134,11.0,28.0,27.0,1154431.0,1898327.0,2019,06/30/2019 03:56:27 PM,41.876831797,-87.708441836
102,82461,06/12/2019 06:25:00 PM,18,2,12,6,017XX W 89TH ST,1020,ARSON,BY FIRE,STREET,False,False,2221,22.0,21.0,71.0,1165996.0,1845657.0,2019,06/30/2019 03:56:27 PM,41.732060299000004,-87.66747691399998
103,82863,06/12/2019 06:00:00 AM,6,2,12,6,113XX S GREEN BAY AVE,1020,ARSON,BY FIRE,VACANT LOT/LAND,False,False,433,4.0,10.0,52.0,1200577.0,1830338.0,2019,06/30/2019 03:56:27 PM,41.689219724000004,-87.54131064799999
104,83227,06/14/2019 02:38:00 AM,2,4,14,6,039XX S ALBANY AVE,1020,ARSON,BY FIRE,STREET,False,False,921,9.0,12.0,58.0,1156327.0,1878144.0,2019,08/09/2019 04:09:21 PM,41.82140926,-87.702025064
105,84297,06/15/2019 05:00:00 AM,5,5,15,6,078XX S INGLESIDE AVE,1020,ARSON,BY FIRE,RESIDENTIAL YARD (FRONT/BACK),True,False,624,6.0,8.0,69.0,1183923.0,1853166.0,2019,11/28/2019 03:51:51 PM,41.752266466,-87.601569405
106,84608,06/05/2019 04:30:00 PM,16,2,5,6,013XX N PULASKI RD,1025,ARSON,AGGRAVATED,SMALL RETAIL STORE,False,False,2534,25.0,27.0,23.0,1149466.0,1908864.0,2019,06/30/2019 03:56:27 PM,41.905844191999996,-87.72639826700001
107,85088,06/16/2019 11:45:00 PM,23,6,16,6,108XX S AVENUE E,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,432,4.0,10.0,52.0,1203841.0,1833760.0,2019,06/30/2019 03:56:27 PM,41.698527008,-87.52924457200001
108,85188,06/16/2019 03:14:00 AM,3,6,16,6,131XX S CORLISS AVE,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,False,False,533,5.0,9.0,54.0,1184010.0,1818396.0,2019,06/30/2019 03:56:27 PM,41.65685118,-87.602332155
109,90670,06/22/2019 01:11:00 AM,1,5,22,6,108XX S AVENUE E,1020,ARSON,BY FIRE,RESIDENCE,False,False,432,4.0,10.0,52.0,1203842.0,1833707.0,2019,06/30/2019 03:56:27 PM,41.698381546,-87.529242723
110,91379,11/30/2017 07:40:00 PM,19,3,30,11,122XX S PEORIA ST,1025,ARSON,AGGRAVATED,STREET,True,True,524,5.0,34.0,53.0,1172540.0,1823739.0,2017,07/01/2019 04:09:31 PM,41.671772549,-87.64414609
111,91586,06/19/2019 02:43:00 AM,2,2,19,6,059XX W ROOSEVELT RD,1020,ARSON,BY FIRE,STREET,False,False,1513,15.0,29.0,25.0,1137039.0,1894072.0,2019,07/01/2019 04:17:39 PM,41.865485209,-87.77240288899998
112,92263,06/25/2019 04:56:00 AM,4,1,25,6,002XX E 58TH ST,1020,ARSON,BY FIRE,SMALL RETAIL STORE,False,False,232,2.0,20.0,40.0,1178790.0,1866612.0,2019,07/02/2019 04:20:54 PM,41.789281966,-87.61997076799999
113,92330,06/25/2019 01:04:00 PM,13,1,25,6,036XX W DIVISION ST,1010,ARSON,BY EXPLOSIVE,SIDEWALK,False,False,1112,11.0,27.0,23.0,1151683.0,1907749.0,2019,07/02/2019 04:20:54 PM,41.902741192,-87.718283745
114,92362,06/25/2019 12:52:00 AM,0,1,25,6,008XX N HAMLIN AVE,1020,ARSON,BY FIRE,ALLEY,False,False,1112,11.0,27.0,23.0,1150903.0,1905293.0,2019,07/02/2019 04:20:54 PM,41.896016993,-87.72121321200001
